Major,Class Name,Class Code,Instructor,Location,Days & Times
Education Multiple Subject,EDMS  521 - Elementary Literacy I,40252,Christiane Wood,Synchronous Virtual Instr,Tu 1:00PM - 3:50PM
Education Multiple Subject,EDMS  543 - Elementary Mathematics Education,40243,Rong-Ji Chen,University Hall 444,Tu 1:00PM - 3:50PM
Education Multiple Subject,EDMS  543 - Elementary Mathematics Education,40244,Rong-Ji Chen,University Hall 444,Mo 9:00AM - 11:50AM
Education Multiple Subject,EDMS  543 - Elementary Mathematics Education,40248,Tammy Foster,Mt San Jacinto College 219,Mo 1:00PM - 3:50PM
Education Multiple Subject,EDMS  555 - Elementary Multilingual Education,40245,Elsie Solis,Synchronous Virtual Instr,Mo 9:00AM - 11:50AM
Education Multiple Subject,EDMS  555 - Elementary Multilingual Education,40253,Suzi Van Steenbergen,Synchronous Virtual Instr,Tu 1:00PM - 3:50PM
Education Multiple Subject,EDMS  555 - Elementary Multilingual Education,40288,Suzi Van Steenbergen,Synchronous Virtual Instr,Tu 9:00AM - 11:50AM
Educational Leadership,EDLD  720 - Leadership for Organizational Change,40229,Manuel Vargas,University Hall 444,Sa 9:00AM - 4:00PM
Educational Leadership,EDLD  730 - Leadership for the Future,40232,Audrey Paredes,University Hall 444,Tu 6:00PM - 9:50PM
Educational Leadership,EDLD  740B - Advanced Topics in Leadership,40233,Manuel Vargas,University Hall 441,Sa 9:00AM - 4:00PM | Tu 6:00PM - 8:50PM
Electrical Engineering,EE  110 - Electrical Engineering Clinic I,42565,Louis Rey,Viasat Engineering Pav 5109,Fr 4:00PM - 6:50PM
Electrical Engineering,EE  110 - Electrical Engineering Clinic I,42956,Louis Rey,Viasat Engineering Pav 5109,We 4:00PM - 6:50PM
Electrical Engineering,EE  210 - Electrical Engineering Clinic II,42689,Clifton Phillips,Viasat Engineering Pav 5109,Fr 9:30AM - 12:20PM
Electrical Engineering,EE  210 - Electrical Engineering Clinic II,42690,Clifton Phillips,Viasat Engineering Pav 5109,Fr 1:00PM - 3:50PM
Electrical Engineering,EE  210 - Electrical Engineering Clinic II,42737,Azadeh Zekri Esfahani,Viasat Engineering Pav 5109,Mo 4:00PM - 6:50PM
Electrical Engineering,EE  280 - Introduction to Circuit Analysis,42477,Claudia Torres Garibay,Academic Hall 405,Th 4:00PM - 5:50PM
Electrical Engineering,EE  280 - Introduction to Circuit Analysis,42478,Claudia Torres Garibay,Viasat Engineering Pav 5105,Tu 3:00PM - 5:50PM
Electrical Engineering,EE  301 - Digital Systems Design with HDL,42691,Justin Morris,Markstein Hall 211,MoWeFr 9:30AM - 10:20AM
Electrical Engineering,EE  301 - Digital Systems Design with HDL,42692,To be Announced,Viasat Engineering Pav 5105,We 4:30PM - 7:20PM
Electrical Engineering,EE  301 - Digital Systems Design with HDL,42963,To be Announced,Viasat Engineering Pav 5105,Th 4:00PM - 6:50PM
Electrical Engineering,EE  301 - Digital Systems Design with HDL,42802,Mark Oberman,ACD 204,MoWe 9:30AM - 10:45AM
Electrical Engineering,EE  301 - Digital Systems Design with HDL,42803,Mark Oberman,Viasat Engineering Pav 5105,Mo 4:30PM - 7:20PM
Electrical Engineering,EE  303 - Signals and Systems,42693,Soudeh Khoubrouy,University Hall 271,TuTh 2:30PM - 3:45PM
Electrical Engineering,EE  310 - Electric Power and Energy Conversion,42514,Hamed Nademi,Viasat Engineering Pav 5109,Tu 8:00AM - 9:50AM
Electrical Engineering,EE  310 - Electric Power and Energy Conversion,42517,Hamed Nademi,Viasat Engineering Pav 5109,Th 8:00AM - 10:50AM
Electrical Engineering,EE  402 - Microcontroller Systems and Computer Interfacing,42694,Mark Oberman,Science Hall II 251,Mo 1:00PM - 3:50PM
Electrical Engineering,EE  402 - Microcontroller Systems and Computer Interfacing,42695,Mark Oberman,Science Hall II 251,We 1:00PM - 3:50PM
Electrical Engineering,EE  435 - Communication Systems and Circuits,42985,To be Announced,Science Hall II 243,Mo 9:30AM - 12:20PM
Electrical Engineering,EE  435 - Communication Systems and Circuits,42987,Jerald Pinter,Viasat Engineering Pav 5109,Th 1:00PM - 3:50PM
Entrepreneurship,ENTR  321 - New Venture Creation,43817,William Byun,Markstein Hall 105,Fr 8:30AM - 12:20PM
Environmental Studies,ENVS  309 - Introduction to Environmental Policy,43838,Shannon Swanson,Soc & Behavioral Sci Bldg 1102,TuTh 2:30PM - 3:45PM
Environmental Studies,ENVS  495C - Internship in Environmental Studies,41677,Gabriel Valle,Soc & Behavioral Sci Bldg1108G,Fr 11:30AM - 2:20PM
Finance,FIN  302 - Foundations of Finance,41739,To be Announced,Markstein Hall 125,Tu 1:00PM - 2:50PM
Finance,FIN  302 - Foundations of Finance,42837,Jedediah Baker,Arts Building 240,We 7:30PM - 9:20PM
Finance,FIN  304 - Introduction to Corporate Finance,41745,Qi Sun,Markstein Hall 101,TuTh 8:00AM - 9:50AM
Finance,FIN  331 - Financial Markets and Institutions,43994,To be Announced,Kellogg Library 5102,TuTh 8:00AM - 9:50AM
Finance,FIN  601 - Foundations of Finance,43328,Dongnyoung Kim,Markstein Hall 104,We 5:30PM - 8:15PM
French,FREN  101 - Beginning French I,40618,Fatim-Zahra Samir,Markstein Hall 213,TuTh 2:30PM - 3:45PM
French,FREN  312 - French Composition and Advanced Oral Practice,43974,Carol Cujec,Markstein Hall 209,MoWeFr 11:30AM - 12:20PM
GE Science,GES  101 - Matter | Molecules | and the Environment (Physical Science),42989,Traci Jackson,Science Hall II 242,TuTh 2:30PM - 3:45PM
GE Science,GES  102 - Molecules | Life | and the Environment (Life Science),43014,Khoosheh Gosink,Science Hall 207,We 3:30PM - 6:20PM
GE Science,GES  105 - Introduction to Physical Science,42360,Chong Kim | Leila Abrous-Sasanka,Arts Building 240,TuTh 9:00AM - 10:15AM
GE Writing,GEW  101A - Writing as Critical Inquiry,44179,To be Announced,Academic Hall 406,MoWe 8:30AM - 10:20AM
